2018-01-29 17:22:18,568 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-01-29 17:22:54,069 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: GestorTramas_v2.0:GestorTramas_v2.0:1 @ C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\pom.xml.
2018-01-29 17:22:54,186 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: GestorTramas_v2.0:GestorTramas_v2.0:1 @ C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\pom.xml.
2018-01-29 17:22:55,456 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:22:55,471 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 53 resources
2018-01-29 17:22:55,638 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:22:55,639 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\src\test\resources
2018-01-29 17:22:57,146 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: GestorTramas_v2.0:GestorTramas_v2.0:1 @ C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\pom.xml.
2018-01-29 17:23:01,022 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:23:01,035 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 53 resources
2018-01-29 17:23:01,235 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:23:01,236 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\src\test\resources
2018-01-29 17:23:15,979 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:23:15,984 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-29 17:23:15,987 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-29 17:23:15,988 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\claud\Desktop\workspaceD20\GestorTramas_v2.0\src\test\resources
